ps - 2.11
Temr351 - 1.90
Acha - 1.60
Domanon - 1.19
Banos Attila - 0.76
vargabalazs29balu - 0.52
Laci123 - 0.41
Fooji - 0.23
Dominik - 0.18
Szabikaaking - 0.12
bmw - 0.06
Babkonzerv - 0.03
Flomaster - 0.02
Danso2003 - 0.00
SpicyChicken - 0.00
